Date,BI_Rate_Annual_Pct,BI_Rate_Monthly_Dec,SBI_Rate_Annual_Pct
2002-01,17.0,0.014167,17.0
2002-02,16.69,0.01391,16.69
2002-03,16.41,0.013678,16.41
2002-04,16.11,0.013422,16.11
2002-05,15.81,0.013173,15.81
2002-06,15.5,0.012917,15.5
2002-07,15.09,0.012575,15.09
2002-08,14.67,0.012222,14.67
2002-09,14.24,0.011869,14.24
2002-10,13.83,0.011528,13.83
2002-11,13.41,0.011175,13.41
2002-12,13.0,0.010833,13.0
2003-01,12.75,0.010625,12.75
2003-02,12.29,0.01024,12.29
2003-03,11.87,0.009892,11.87
2003-04,11.41,0.009507,11.41
2003-05,10.96,0.009135,10.96
2003-06,10.5,0.00875,10.5
2003-07,10.34,0.008613,10.34
2003-08,10.17,0.008472,10.17
2003-09,10.0,0.008331,10.0
2003-10,9.83,0.008194,9.83
2003-11,9.66,0.008053,9.66
2003-12,9.5,0.007917,9.5
2004-01,9.25,0.007708,9.25
2004-02,8.94,0.007453,8.94
2004-03,8.66,0.007215,8.66
2004-04,8.35,0.00696,8.35
2004-05,8.06,0.006713,8.06
2004-06,7.75,0.006458,7.75
2004-07,7.7,0.006415,7.7
2004-08,7.64,0.006369,7.64
2004-09,7.59,0.006324,7.59
2004-10,7.54,0.006281,7.54
2004-11,7.48,0.006235,7.48
2004-12,7.43,0.006192,7.43
2005-01,7.43,0.006192,7.43
2005-02,7.47,0.006222,7.47
2005-03,7.5,0.00625,7.5
2005-04,7.75,0.006461,7.75
2005-05,8.0,0.006664,8.0
2005-06,8.25,0.006875,8.25
2005-07,8.5,0.007083,8.5
2005-08,8.75,0.007292,8.75
2005-09,10.25,0.008542,10.25
2005-10,11.75,0.009792,11.75
2005-11,12.75,0.010625,12.75
2005-12,12.75,0.010625,12.75
2006-01,12.5,0.010417,12.5
2006-02,12.37,0.010307,12.37
2006-03,12.25,0.010208,12.25
2006-04,11.83,0.009857,11.83
2006-05,11.42,0.009518,11.42
2006-06,11.0,0.009167,11.0
2006-07,10.76,0.008963,10.76
2006-08,10.5,0.008752,10.5
2006-09,10.25,0.008542,10.25
2006-10,10.09,0.008404,10.09
2006-11,9.91,0.008262,9.91
2006-12,9.75,0.008125,9.75
2007-01,9.58,0.007981,9.58
2007-02,9.41,0.007838,9.41
2007-03,9.25,0.007708,9.25
2007-04,9.0,0.007498,9.0
2007-05,8.75,0.007294,8.75
2007-06,8.5,0.007083,8.5
2007-07,8.42,0.007015,8.42
2007-08,8.33,0.006945,8.33
2007-09,8.25,0.006875,8.25
2007-10,8.17,0.006806,8.17
2007-11,8.08,0.006735,8.08
2007-12,8.0,0.006667,8.0
